movie_title,imdb_score,profit
"The Croods",7.3,52165546
"Asterix at the Olympic Games",5.1,NULL
Windtalkers,6,-74088170
"The Huntsman: Winter's War",6.1,-67047980
Gravity,7.8,174084951
"Dante's Peak",5.8,-48844258
"Teenage Mutant Ninja Turtles: Out of the Shadows",6.3,-53361326
"Fantastic Four",4.3,-63885779
"Night at the Museum",6.4,140863268
"San Andreas",6.1,45181732
"Tomorrow Never Dies",6.5,15332007
"The Patriot",7.1,3330342
"Ocean's Twelve",6.4,15531634
"Mr. & Mrs. Smith",6.5,66336103
Insurgent,6.3,19995817
"The Aviator",7.5,-7391173
"Gulliver's Travels",4.9,-69223741
"The Green Hornet",5.8,-21219958
"The A-Team",7.6,NULL
"300: Rise of an Empire",6.2,-3630883
"The Smurfs",5.5,32614158
"Home on the Range",5.4,-59973647
Allegiant,5.8,-43997807
"Real Steel",7.1,-24536691
"The Smurfs 2",5.4,-33982216
"Speed 2: Cruise Control",3.7,-111931604
"Ender's Game",6.7,-48343151
"Live Free or Die Hard",7.2,24520804
"The Lord of the Rings: The Fellowship of the Ring",8.8,220837577
Ali,6.8,-48816034
"The Cat in the Hat",3.8,-8553105
"I, Robot",7.1,24795350
"Kingdom of Heaven",7.2,-82603302
"Stuart Little",5.9,7015224
"The Princess and the Frog",7.1,-625893
"The Martian",8.1,120430993
"10,000 B.C.",7.2,NULL
"Town & Country",4.4,-83287549
"Gone in Sixty Seconds",6.5,11643008
Gladiator,8.5,84670866
"Minority Report",7.7,30014112
"Harry Potter and the Chamber of Secrets",7.4,161970615
"Terminator 2: Judgment Day",8.5,102843350
"Public Enemies",7,-2969275
"American Gangster",7.8,30127620
"True Lies",7.2,31282411
"The Taking of Pelham 1 2 3",6.4,-34547688
"Little Fockers",5.5,48383780
"The Other Guys",6.7,19219978
Eraser,6.1,1228120
"Django Unchained",8.5,62804648
"The Hunchback of Notre Dame",6.9,117603
"The Emperor's New Groove",7.3,-10703427
"The Expendables 2",6.7,-6982599
"National Treasure",6.9,73005002
Eragon,5.1,-24969837
"Where the Wild Things Are",6.8,-22777816
Epic,6.7,7515297
"End of Days",5.7,-16137932
"Blood Diamond",8,"Quality Anomaly"
"The Wolf of Wall Street",8.2,16866727
"Batman Forever",5.4,84031112
"Starship Troopers",7.2,-50299935
"Cloud Atlas",7.5,-74901420
"Legend of the Guardians: The Owls of Ga'Hoole",7,-24326667
Catwoman,3.3,-59801290
Hercules,6,-27339971
"Treasure Planet",7.1,-101879446
"Land of the Lost",5.4,-50607905
"The Expendables 3",6.1,-50707978
"Son of the Mask",2.2,-66989354
"In the Heart of the Sea",7,-75014388
"The Adventures of Pluto Nash",3.8,-95588898
"Green Zone",6.9,-64975525
"The Peanuts Movie",7.2,31174897
"The Spanish Prisoner",7.3,200000
"The Mummy Returns",6.3,104007640
"Gangs of New York",7.5,-22320362
"The Flowers of War",7.6,-93990787
"Surf's Up",6.8,-41132306
"The Stepford Wives",5.2,-30524377
"Black Hawk Down",7.7,16638745
"The Campaign",6.2,-8102818
"The Fifth Element",7.7,-29459980
"Sex and the City 2",4.3,-4671063
"The Road to El Dorado",6.9,-44197339
"Ice Age: Continental Drift",6.6,66317423
"Finding Nemo",8.2,286838870
"The Lord of the Rings: The Return of the King",8.9,283019252
"The Lord of the Rings: The Two Towers",8.7,246478898
"Seventh Son",5.5,-77823100
"Lara Croft: Tomb Raider",5.7,16144183
Transcendence,6.3,-76985496
"Jurassic Park III",5.9,88166115
"Rise of the Planet of the Apes",7.6,83740650
"The Spiderwick Chronicles",6.6,-18851301
"A Good Day to Die Hard",5.3,-24655608
"The Alamo",6,-84593638
"The Incredibles",8,169437578
"Cutthroat Island",5.6,-87000000
"Percy Jackson & the Olympians: The Lightning Thief",5.9,-6238280
"Men in Black",7.3,160147615
"Toy Story 2",7.9,155823397
Unstoppable,6.8,-18442521
"Rush Hour 2",6.6,136138454
"What Lies Beneath",6.6,55370362
"Cloudy with a Chance of Meatballs",7,24870275
"Ice Age: Dawn of the Dinosaurs",7,106573705
"The Secret Life of Walter Mitty",7.3,-31770880
"Charlie's Angels",5.5,33305545
"The Departed",8.5,42373442
Mulan,7.5,30618403
